"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2025","AQS","060250005","1","30.9","ppb","28","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/02/2025","AQS","060250005","1","34.3","ppb","32","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/03/2025","AQS","060250005","1","37.4","ppb","35","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/04/2025","AQS","060250005","1","31.4","ppb","29","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/05/2025","AQS","060250005","1","33.1","ppb","31","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/06/2025","AQS","060250005","1","40.2","ppb","38","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/07/2025","AQS","060250005","1","23.4","ppb","22","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/08/2025","AQS","060250005","1","9.7","ppb","8","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/09/2025","AQS","060250005","1","14.5","ppb","13","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/10/2025","AQS","060250005","1","39.7","ppb","37","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/11/2025","AQS","060250005","1","44.1","ppb","42","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/12/2025","AQS","060250005","1","11.3","ppb","10","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/13/2025","AQS","060250005","1","29.8","ppb","27","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/14/2025","AQS","060250005","1","32.4","ppb","30","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/15/2025","AQS","060250005","1","23.9","ppb","22","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/16/2025","AQS","060250005","1","29.3","ppb","27","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/17/2025","AQS","060250005","1","34.3","ppb","32","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/18/2025","AQS","060250005","1","36.9","ppb","34","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/19/2025","AQS","060250005","1","28.1","ppb","26","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/20/2025","AQS","060250005","1","26.4","ppb","25","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/21/2025","AQS","060250005","1","36.2","ppb","34","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/22/2025","AQS","060250005","1","34.4","ppb","32","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/23/2025","AQS","060250005","1","38.8","ppb","36","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/24/2025","AQS","060250005","1","47.9","ppb","44","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/25/2025","AQS","060250005","1","43.4","ppb","41","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/26/2025","AQS","060250005","1","33.3","ppb","31","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/27/2025","AQS","060250005","1","19.4","ppb","18","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/28/2025","AQS","060250005","1","23.3","ppb","22","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/29/2025","AQS","060250005","1","42","ppb","40","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/30/2025","AQS","060250005","1","41.8","ppb","39","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/31/2025","AQS","060250005","1","33.5","ppb","31","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"02/01/2025","AQS","060250005","1","39.9","ppb","37","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"02/02/2025","AQS","060250005","1","35.8","ppb","33","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"02/03/2025","AQS","060250005","1","36.8","ppb","34","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"02/04/2025","AQS","060250005","1","27.4","ppb","25","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"02/05/2025","AQS","060250005","1","45.1","ppb","42","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"02/06/2025","AQS","060250005","1","18","ppb","17","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"02/07/2025","AQS","060250005","1","30.3","ppb","28","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"02/08/2025","AQS","060250005","1","33","ppb","31","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"02/09/2025","AQS","060250005","1","40.9","ppb","38","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"02/10/2025","AQS","060250005","1","30","ppb","28","Calexico-Ethel Street","23","96.0000","42602","Nitrogen dioxide (NO2)","074","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
